ID,Nom,Departement
374,SAINT MAIXENT SUR VIE,85
375,SAINT MALO DU BOIS,85
376,SAINT MARS DES PRÉS,85
377,SAINT MARS LA RÉORTHE,85
378,SAINT MARSAULT,79
379,SAINT MARTIN DE BREM (= BREM SUR MER),85
380,SAINT MARTIN DE FRAIGNEAU,85
381,SAINT MARTIN DES FONTAINES,85
382,SAINT MARTIN DES NOYERS,85
383,SAINT MARTIN DES TILLEULS,85
384,SAINT MARTIN LARS EN SAINTE HERMINE,85
385,SAINT MARTIN SOUS MOUZEUIL,85
386,SAINT MATHURIN,85
387,SAINT MAURICE DES NOUES,85
388,SAINT MAURICE LE GIRARD,85
389,SAINT MAXIRE,79
390,SAINT MESMIN,85
391,SAINT MICHEL EN L'HERM,85
392,SAINT MICHEL LE CLOUCQ,85
393,SAINT MICHEL MONT MERCURE,85
394,SAINT MÉDARD DES PRÉS,85
395,SAINT NICOLAS DE BREM,85
396,SAINT OUEN DES GÂTS,85
397,SAINT PAUL EN GÂTINE,79
398,SAINT PAUL EN PAREDS,85
399,SAINT PAUL MONT PENIT,85
400,SAINT PHILBERT DE BOUAINE,85
401,SAINT PHILBERT DU PONT CHARRAULT,85
402,SAINT PIERRE DES ÉCHAUBROGNES,79
403,SAINT PIERRE DU CHEMIN,85
404,SAINT PIERRE LE VIEUX,85
405,SAINT POMPAIN,79
406,SAINT PORCHAIRE (79),79
407,SAINT PROUANT,85
408,SAINT RÉVÉREND,85
409,SAINT SIGISMOND,85
410,SAINT SORNIN,85
411,SAINT SORNIN,
412,SAINT SULPICE EN PAREDS,85
413,SAINT SULPICE LE VERDON,85
414,SAINT URBAIN,85
415,SAINT VALÉRIEN,85
416,SAINT VINCENT FORT DU LAY,85
417,SAINT VINCENT PUYMAUFRAIS (OU PUYMAUFRAIS),85
418,SAINT VINCENT PUYMAUFRAIS (ou PUYMAUFRAIS),85
419,SAINT VINCENT STERLANGES,85
420,SAINT VINCENT SUR GRAON,85
421,SAINT VINCENT SUR JARD,85
422,SAINT ÉTIENNE DE BRILLOUET,85
423,SAINT ÉTIENNE DE MER MORTE,44
424,SAINT ÉTIENNE DES LOGES,85
425,SAINT ÉTIENNE DU BOIS,85
426,SAINTE CHRISTINE,85
427,SAINTE CÉCILE,85
428,SAINTE FLAIVE DES LOUPS,85
429,SAINTE FLORENCE,85
430,SAINTE FOY,85
431,SAINTE GEMME LA PLAINE,85
432,SAINTE GEMME LES BRUYÈRES,85
433,SAINTE HERMINE,85
434,SAINTE PEXINE,85
435,SAINTE PEZENNE,79
436,SAINTE RADÉGONDE DES NOYERS,85
437,SAINTE RADÉGONDE LA VINEUSE,85
438,SALIGNY,85
439,SALLE DE VIHIERS (LA),49
440,SALLERTAINE,85
441,SCILLÉ,79
442,SIGOURNAIS,85
443,SIMON (LA VINEUSE),85
444,SOMLOIRE,49
445,SOULLANS,85
446,ST JOUIN DE MILLY,79
447,SÉRIGNÉ,85
448,TABLIER (LE),85
449,TALLUD (SAINTE GEMME) (LE),85
450,TALMONT (SAINT HILAIRE),85
451,TARDIÈRE (LA),85
452,TAUGON,17
453,TEMPLE (LE),79
454,TERVES,79
455,THIRÉ,85
456,THORIGNY,85
457,THOUARSAIS,85
458,THOUARSAIS (BOUILDROUX),85
459,TIFFAUGES (- NOTRE DAME),85
460,TIFFAUGES - SAINT NICOLAS,85
461,TILLAY,85
462,TILLIERES,49
463,TORFOU,49
464,TOURLANDRY (LA ),49
465,TRANCHE SUR MER (LA),85
466,TREIZE SEPTIERS,85
